case_id,case_title,VA1,VA2,VA3,VA4,FU1,FU2,FU3,RD1,RD2,RD3,IA1,IA2,IA3,ECI,SPI
bef6dff7-d7b3-4632-80c6-4e01a82e3ee6,Tatiana Tarasoff: A Duty to Warn,4,3,3,2,2,2,2,,,,,,,,
5722330c-56cb-4f7c-b115-4fcbd3d67f75,Case Study – Moral Distress of Hospital Workers,4,5,4,3,5,5,5,4,4,3,5,1,6,,
ab682458-9bac-4a18-98c3-c91465e6bf47,Angela C – Maternal Fetal Issues,5,5,5,6,5,5,5,5,5,1,4,3,6,100,0
975db1b2-4ef3-433f-abe3-a8ed34ff2b7b,Clinical Research Involving Children,1,1,1,6,6,6,6,6,6,6,6,6,6,45,80
c9636ea4-23b7-4c49-bc63-d139e40f6e27, Scarce Resources,4,6,3,6,4,6,6,5,4,3,6,6,6,80,20
f48914eb-bc3a-43aa-8fda-194eb400279e,A Multidisciplinary Healthcare Team Disagrees with Keeping the Patient Full Code,5,3,3,6,6,3,6,2,3,6,1,6,6,75,50
3ab34a1a-34d2-4e0c-a506-7f113781ea49,Family Opposition to Organ Donation Despite First Person Consent,3,6,1,6,6,5,6,4,2,1,5,6,5,100,0
2dbee500-c320-445a-b1c8-6ce15d384f96,End-Stage Cancer Treatment Decision,5,5,5,4,5,5,5,5,3,5,5,5,5,72,70
b5f7c8a8-a923-4bac-ad74-655e02424ac6,My Patient’s Dying,5,6,5,5,6,6,5,5,6,1,5,6,6,100,68
09613b2c-14f5-4001-92bd-6798d1ee98d5,Aaron’s Siblings Need to Make a Tough Decision,5,4,5,6,5,5,5,5,6,6,5,3,4,0,74
